City,Country,Date,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
mokhsogollokh,RU,1562695967,61.4,128.95,63.16,98,100,2.62
ushuaia,AR,1562695967,-54.81,-68.31,36.63,100,90,9.17
langsa,ID,1562695967,4.47,97.97,69.28,96,42,1.34
carnarvon,ZA,1562695968,-30.97,22.13,55.96,37,0,6.85
atuona,PF,1562695968,-9.8,-139.03,80.26,73,26,12.1
hobart,AU,1562695968,-42.88,147.33,49.96,57,75,10.29
yar-sale,RU,1562695969,66.83,70.83,52.18,60,100,2.68
new norfolk,AU,1562695969,-42.78,147.06,49.96,57,75,10.29
bluff,AU,1562695969,-23.58,149.07,57.4,95,10,1.28
kaduy,RU,1562695970,59.2,37.15,57.2,93,40,3.62
fort nelson,CA,1562695970,58.81,-122.69,59,62,40,4.7
alofi,NU,1562695970,-19.06,-169.92,75.2,94,31,6.93
sao gabriel da cachoeira,BR,1562695970,-0.13,-67.09,75.2,94,90,3.36
punta arenas,CL,1562695971,-53.16,-70.91,37.27,100,90,4.7
puerto ayora,EC,1562695971,-0.74,-90.35,74.86,69,75,17.22
manta,RO,1562695971,45.1,24.1,61.54,81,92,3.22
mataura,NZ,1562695971,-46.19,168.86,39,97,98,1.99
iqaluit,CA,1562695972,63.75,-68.52,70.34,46,20,10.29
maniitsoq,GL,1562695972,65.42,-52.9,45.34,82,100,0.85
hilo,US,1562695972,19.71,-155.08,73.69,88,90,5.82
tabuk,PH,1562695972,17.41,121.44,61.72,95,96,2.08
hermanus,ZA,1562695972,-34.42,19.24,57,87,0,8.5
norman wells,CA,1562695973,65.28,-126.83,60.8,59,40,5.82
verkhoyansk,RU,1562695973,67.55,133.39,58.66,85,4,3.22
bonavista,CA,1562695973,48.65,-53.11,56.5,82,100,10.54
khatanga,RU,1562695973,71.98,102.47,47.5,92,100,5.32
atambua,ID,1562695974,-9.11,124.89,75.76,69,22,12.71
nanortalik,GL,1562695974,60.14,-45.24,47.5,67,100,7.52
qaanaaq,GL,1562695974,77.48,-69.36,39.4,88,100,2.89
san quintin,PH,1562695974,17.54,120.52,75.22,90,96,3.2
manicore,BR,1562695974,-5.81,-61.3,81.7,60,84,1.43
peniche,PT,1562695975,39.36,-9.38,73.17,64,0,13.87
ozernovskiy,RU,1562695975,51.5,156.52,41.74,96,91,2.93
